=== Model: RandomForest ===

--- Group 1 ---
26. query_count: 0.001274 ± 0.000061
27. url_length: 0.001212 ± 0.000115
28. lowercase: 0.001147 ± 0.000088
29. tilde: 0.001102 ± 0.000077
30. is_domain_ip: 0.000953 ± 0.000102
31. at: 0.000769 ± 0.000072
32. and: 0.000764 ± 0.000058
33. special_chars: 0.000592 ± 0.000022
34. colons: 0.000524 ± 0.000036
35. fragment_length: 0.000287 ± 0.000042
36. specialchar_to_length_ratio: 0.000284 ± 0.000046
37. se_fragment: 0.000000 ± 0.000000

--- Group 3 ---
1. cte_domain: 0.107142 ± 0.000739
2. is_https: 0.106414 ± 0.000578
3. domain_length: 0.080594 ± 0.000393
4. subdomains: 0.031498 ± 0.000430
5. uppercase: 0.024554 ± 0.000289
6. dots: 0.024283 ± 0.000308
7. hyphens: 0.023940 ± 0.000399
8. digits: 0.019644 ± 0.000244
9. se_domain: 0.014204 ± 0.000311
10. slashes: 0.009958 ± 0.000396
11. equals: 0.007406 ± 0.000140
12. path_depth: 0.006648 ± 0.000126
13. underscore: 0.006339 ± 0.000071
14. path_length: 0.005910 ± 0.000215
15. percent: 0.005300 ± 0.000137
16. char_to_length_ratio: 0.005180 ± 0.000107
17. se_path: 0.004776 ± 0.000106
18. upper_to_lower_ratio: 0.004453 ± 0.000093
19. se_query: 0.004340 ± 0.000107
20. is_mtld: 0.004104 ± 0.000217
21. digit_to_length_ratio: 0.003270 ± 0.000360
22. se_url: 0.002610 ± 0.000214
23. question_marks: 0.002377 ± 0.000269
24. query_length: 0.002207 ± 0.000121
25. is_tld_iana_reg: 0.001802 ± 0.000062
26. tilde: 0.001237 ± 0.000055
27. lowercase: 0.001048 ± 0.000111
28. url_length: 0.001039 ± 0.000085
29. query_count: 0.000976 ± 0.000106
30. is_domain_ip: 0.000750 ± 0.000032
31. at: 0.000709 ± 0.000038
32. and: 0.000469 ± 0.000056
33. colons: 0.000457 ± 0.000047
34. specialchar_to_length_ratio: 0.000310 ± 0.000044
35. special_chars: 0.000303 ± 0.000020
36. fragment_length: 0.000277 ± 0.000027
37. se_fragment: 0.000001 ± 0.000008


